iteration,round, vertex1, vertex2, old_weight, new_weight, accepted
0,0, 1, 0, 0.000000, 0.000000, 1
1,0, 2, 0, 0.000000, 0.000000, 1
2,0, 2, 1, 0.000000, 0.000000, 1
3,0, 3, 0, 0.000000, 0.000000, 1
4,0, 3, 1, 0.000000, 0.000000, 1
5,0, 3, 2, 0.000000, 0.000000, 1
6,0, 4, 0, 0.000000, 0.000000, 1
7,0, 4, 1, 0.000000, 0.000000, 1
8,0, 4, 2, 0.000000, 0.000000, 1
9,0, 4, 3, 0.000000, 0.000000, 1
10,0, 5, 0, 0.000000, 0.000000, 1
11,0, 5, 1, 0.000000, 0.000000, 1
12,0, 5, 2, 0.000000, 0.000000, 1
13,0, 5, 3, 0.000000, 0.300000, 1
14,0, 5, 4, 0.000000, 0.000000, 1
15,0, 6, 0, 0.000000, 0.400000, 1
16,0, 6, 1, 0.000000, 0.000000, 1
17,0, 6, 2, 0.000000, 0.000000, 1
18,0, 6, 3, 0.000000, 0.000000, 1
19,0, 6, 4, 0.000000, 0.000000, 1
20,0, 6, 5, 0.000000, 0.400000, 1
21,0, 7, 0, 0.000000, 0.000000, 1
22,0, 7, 1, 0.000000, 0.200000, 1
23,0, 7, 2, 0.000000, 0.400000, 1
24,0, 7, 3, 0.000000, 0.000000, 1
25,0, 7, 4, 0.000000, 0.000000, 1
26,0, 7, 5, 0.000000, 0.000000, 1
27,0, 7, 6, 0.000000, 0.100000, 1
28,0, 8, 0, 0.000000, 0.000000, 1
29,0, 8, 1, 0.000000, 0.000000, 1
30,0, 8, 2, 0.000000, 0.000000, 1
31,0, 8, 3, 0.000000, 0.200000, 1
32,0, 8, 4, 0.000000, 0.000000, 1
33,0, 8, 5, 0.000000, 0.100000, 1
34,0, 8, 6, 0.000000, 0.000000, 1
35,0, 8, 7, 0.000000, 0.000000, 1
36,0, 9, 0, 0.000000, 0.300000, 1
37,0, 9, 1, 0.000000, 0.000000, 1
38,0, 9, 2, 0.000000, 0.000000, 1
39,0, 9, 3, 0.000000, 0.000000, 1
40,0, 9, 4, 0.000000, 0.000000, 1
41,0, 9, 5, 0.000000, 0.000000, 1
42,0, 9, 6, 0.000000, 0.000000, 1
43,0, 9, 7, 0.000000, 0.100000, 1
44,0, 9, 8, 0.000000, 0.000000, 1
45,0, 10, 0, 0.000000, 0.000000, 1
46,0, 10, 1, 0.000000, 0.000000, 1
47,0, 10, 2, 0.000000, 0.300000, 1
48,0, 10, 3, 0.000000, 0.000000, 1
49,0, 10, 4, 0.000000, 0.000000, 1
50,0, 10, 5, 0.000000, 0.000000, 1
51,0, 10, 6, 0.000000, 0.300000, 1
52,0, 10, 7, 0.000000, 0.000000, 1
53,0, 10, 8, 0.000000, 0.000000, 1
54,0, 10, 9, 0.000000, 0.000000, 1
55,0, 11, 0, 0.000000, 0.000000, 1
56,0, 11, 1, 0.000000, 0.000000, 1
57,0, 11, 2, 0.000000, 0.000000, 1
58,0, 11, 3, 0.000000, 0.000000, 1
59,0, 11, 4, 0.000000, 0.000000, 1
60,0, 11, 5, 0.000000, 0.000000, 1
61,0, 11, 6, 0.000000, 0.000000, 1
62,0, 11, 7, 0.000000, 0.000000, 1
63,0, 11, 8, 0.000000, 0.000000, 1
64,0, 11, 9, 0.000000, 0.000000, 1
65,0, 11, 10, 0.000000, 0.000000, 1
66,1, 9, 0, 0.300000, 0.521662, 1
67,1, 7, 1, 0.200000, 0.499792, 1
68,1, 10, 2, 0.300000, 0.557612, 1
69,1, 8, 3, 0.200000, 0.199904, 1
70,1, 6, 5, 0.400000, 0.722027, 1
71,1, 6, 0, 0.400000, 0.564334, 1
72,1, 7, 1, 0.499792, 0.771240, 1
73,1, 8, 5, 0.100000, 0.000000, 1
74,1, 9, 0, 0.521662, 0.787323, 1
75,1, 10, 2, 0.557612, 0.864247, 1
76,2, 9, 0, 0.787323, 1.081876, 1
77,2, 7, 1, 0.771240, 1.024908, 1
78,2, 10, 2, 0.864247, 1.196664, 1
79,2, 8, 3, 0.199904, 0.187719, 1
80,2, 6, 5, 0.722027, 1.128041, 1
81,2, 6, 0, 0.564334, 0.744181, 1
82,2, 7, 1, 1.024908, 1.265021, 1
83,2, 8, 3, 0.187719, 0.174536, 1
84,2, 9, 0, 1.081876, 1.391210, 1
85,2, 10, 2, 1.196664, 1.544630, 1
86,3, 9, 0, 1.391210, 1.712859, 1
87,3, 7, 1, 1.265021, 1.493996, 1
88,3, 10, 2, 1.544630, 1.903036, 1
89,3, 8, 3, 0.174536, 0.160184, 1
90,3, 6, 5, 1.128041, 1.556058, 1
91,3, 6, 0, 0.744181, 0.937395, 1
92,3, 7, 1, 1.493996, 1.713439, 1
93,3, 8, 3, 0.160184, 0.144432, 1
94,3, 9, 0, 1.712859, 2.041421, 1
95,3, 10, 2, 1.903036, 2.268994, 1
96,4, 9, 0, 2.041421, 2.376854, 1
97,4, 7, 1, 1.713439, 1.924510, 1
98,4, 10, 2, 2.268994, 2.640711, 1
99,4, 8, 3, 0.144432, 0.126961, 1
100,4, 6, 5, 1.556058, 1.996990, 1
101,4, 6, 0, 0.937395, 1.141649, 1
102,4, 7, 1, 1.924510, 2.128094, 1
103,4, 8, 3, 0.126961, 0.107303, 1
104,4, 9, 0, 2.376854, 2.716295, 1
105,4, 10, 2, 2.640711, 3.016992, 1
106,5, 9, 0, 2.716295, 3.060200, 1
107,5, 7, 1, 2.128094, 2.324894, 1
108,5, 10, 2, 3.016992, 3.396999, 1
109,5, 5, 3, 0.300000, 0.450421, 1
110,5, 6, 5, 1.996990, 2.443152, 1
111,5, 6, 0, 1.141649, 1.354962, 1
112,5, 7, 1, 2.324894, 2.515483, 1
113,5, 8, 3, 0.107303, 0.084707, 1
114,5, 9, 0, 3.060200, 3.406744, 1
115,5, 10, 2, 3.396999, 3.780118, 1
116,6, 9, 0, 3.406744, 3.756470, 1
117,6, 7, 1, 2.515483, 2.700341, 1
118,6, 10, 2, 3.780118, 4.165886, 1
119,6, 5, 3, 0.450421, 0.642716, 1
120,6, 6, 5, 2.443152, 2.892999, 1
121,6, 6, 0, 1.354962, 1.575772, 1
122,6, 7, 1, 2.700341, 2.879874, 1
123,6, 8, 3, 0.084707, 0.057817, 1
124,6, 9, 0, 3.756470, 4.108082, 1
125,6, 10, 2, 4.165886, 4.553943, 1
126,7, 9, 0, 4.108082, 4.462103, 1
127,7, 7, 1, 2.879874, 3.054435, 1
128,7, 10, 2, 4.553943, 4.944002, 1
129,7, 5, 3, 0.642716, 0.848602, 1
130,7, 6, 5, 2.892999, 3.345921, 1
131,7, 6, 0, 1.575772, 1.802861, 1
132,7, 7, 1, 3.054435, 3.224329, 1
133,7, 8, 3, 0.057817, 0.023556, 1
134,7, 9, 0, 4.462103, 4.817550, 1
135,7, 10, 2, 4.944002, 5.335832, 1
136,8, 9, 0, 4.817550, 5.174902, 1
137,8, 7, 1, 3.224329, 3.389827, 1
138,8, 10, 2, 5.335832, 5.729242, 1
139,8, 5, 3, 0.848602, 1.057726, 1
140,8, 6, 5, 3.345921, 3.801514, 1
141,8, 6, 0, 1.802861, 2.035277, 1
142,8, 7, 1, 3.389827, 3.551170, 1
143,8, 8, 3, 0.023556, 0.000000, 1
144,8, 9, 0, 5.174902, 5.533379, 1
145,8, 10, 2, 5.729242, 6.124074, 1
146,9, 9, 0, 5.533379, 5.893408, 1
147,9, 7, 1, 3.551170, 3.708572, 1
148,9, 10, 2, 6.124074, 6.520193, 1
149,9, 5, 3, 1.057726, 1.111703, 1
150,9, 6, 5, 3.801514, 4.220998, 1
151,9, 6, 0, 2.035277, 2.272269, 1
152,9, 7, 1, 3.708572, 3.862230, 1
153,9, 9, 0, 5.893408, 6.254352, 1
154,9, 10, 2, 6.520193, 6.917486, 1
155,10, 9, 0, 6.254352, 6.616594, 1
156,10, 7, 1, 3.862230, 4.012318, 1
157,10, 10, 2, 6.917486, 7.315853, 1
158,10, 5, 3, 1.111703, 1.164338, 1
159,10, 6, 5, 4.220998, 4.643051, 1
160,10, 6, 0, 2.272269, 2.513236, 1
161,10, 7, 1, 4.012318, 4.158999, 1
162,10, 9, 0, 6.616594, 6.979598, 1
163,10, 10, 2, 7.315853, 7.715210, 1
164,11, 9, 0, 6.979598, 7.343708, 1
165,11, 7, 1, 4.158999, 4.302420, 1
166,11, 10, 2, 7.715210, 8.115482, 1
167,11, 5, 3, 1.164338, 1.215708, 1
168,11, 6, 5, 4.643051, 5.067337, 1
169,11, 6, 0, 2.513236, 2.757688, 1
170,11, 7, 1, 4.302420, 4.442718, 1
171,11, 9, 0, 7.343708, 7.708464, 1
172,11, 10, 2, 8.115482, 8.516603, 1
173,12, 9, 0, 7.708464, 8.074178, 1
174,12, 7, 1, 4.442718, 4.580017, 1
175,12, 10, 2, 8.516603, 8.918516, 1
176,12, 5, 3, 1.215708, 1.265886, 1
177,12, 6, 5, 5.067337, 5.493584, 1
178,12, 6, 0, 2.757688, 3.005227, 1
179,12, 7, 1, 4.580017, 4.714435, 1
180,12, 9, 0, 8.074178, 8.440449, 1
181,12, 10, 2, 8.918516, 9.321168, 1
182,13, 9, 0, 8.440449, 8.807559, 1
183,13, 7, 1, 4.714435, 4.846080, 1
184,13, 10, 2, 9.321168, 9.724512, 1
185,13, 5, 3, 1.265886, 1.314934, 1
186,13, 6, 5, 5.493584, 5.921576, 1
187,13, 6, 0, 3.005227, 3.255519, 1
188,13, 7, 1, 4.846080, 4.975052, 1
189,13, 9, 0, 8.807559, 9.175157, 1
190,13, 10, 2, 9.724512, 10.128508, 1
191,14, 9, 0, 9.175157, 9.543498, 1
192,14, 7, 1, 4.975052, 5.101448, 1
193,14, 10, 2, 10.128508, 10.533116, 1
194,14, 5, 3, 1.314934, 1.362910, 1
195,14, 6, 5, 5.921576, 6.351130, 1
196,14, 6, 0, 3.255519, 3.508284, 1
197,14, 7, 1, 5.101448, 5.225354, 1
198,14, 9, 0, 9.543498, 9.912271, 1
199,14, 10, 2, 10.533116, 10.938304, 1
200,15, 9, 0, 9.912271, 10.281708, 1
201,15, 7, 1, 5.225354, 5.346855, 1
202,15, 10, 2, 10.938304, 11.344040, 1
203,15, 5, 3, 1.362910, 1.409865, 1
204,15, 6, 5, 6.351130, 6.782097, 1
205,15, 6, 0, 3.508284, 3.763287, 1
206,15, 7, 1, 5.346855, 5.466028, 1
207,15, 9, 7, 0.100000, 0.000000, 1
208,15, 10, 2, 11.344040, 11.630531, 1
209,16, 9, 0, 10.281708, 10.387938, 1
210,16, 7, 1, 5.466028, 5.502969, 1
211,16, 10, 2, 11.630531, 11.917370, 1
212,16, 5, 3, 1.409865, 1.455847, 1
213,16, 6, 5, 6.782097, 7.214348, 1
214,16, 6, 0, 3.763287, 4.020896, 1
215,16, 7, 1, 5.502969, 5.539217, 1
216,16, 9, 0, 10.387938, 10.493968, 1
217,16, 10, 2, 11.917370, 12.204543, 1
218,17, 9, 0, 10.493968, 10.599802, 1
219,17, 7, 1, 5.539217, 5.574789, 1
220,17, 10, 2, 12.204543, 12.492040, 1
221,17, 5, 3, 1.455847, 1.500900, 1
222,17, 6, 5, 7.214348, 7.647774, 1
223,17, 6, 0, 4.020896, 4.280769, 1
224,17, 7, 1, 5.574789, 5.609698, 1
225,17, 9, 0, 10.599802, 10.705441, 1
226,17, 10, 2, 12.492040, 12.779850, 1
227,18, 9, 0, 10.705441, 10.810886, 1
228,18, 7, 1, 5.609698, 5.643960, 1
229,18, 10, 2, 12.779850, 13.067963, 1
230,18, 5, 3, 1.500900, 1.545062, 1
231,18, 6, 5, 7.647774, 8.082280, 1
232,18, 6, 0, 4.280769, 4.542699, 1
233,18, 7, 1, 5.643960, 5.677589, 1
234,18, 9, 0, 10.810886, 10.916142, 1
235,18, 10, 2, 13.067963, 13.356369, 1
236,19, 9, 0, 10.916142, 11.021208, 1
237,19, 7, 1, 5.677589, 5.710599, 1
238,19, 10, 2, 13.356369, 13.645060, 1
239,19, 5, 3, 1.545062, 1.588372, 1
240,19, 6, 5, 8.082280, 8.517784, 1
241,19, 6, 0, 4.542699, 4.806509, 1
242,19, 7, 1, 5.710599, 5.743003, 1
243,19, 9, 0, 11.021208, 11.126087, 1
244,19, 10, 2, 13.645060, 13.934026, 1
245,20, 9, 0, 11.126087, 11.230781, 1
246,20, 7, 1, 5.743003, 5.774815, 1
247,20, 10, 2, 13.934026, 14.223260, 1
248,20, 5, 3, 1.588372, 1.630862, 1
249,20, 6, 5, 8.517784, 8.954214, 1
250,20, 6, 0, 4.806509, 5.072043, 1
251,20, 7, 1, 5.774815, 5.806047, 1
252,20, 9, 0, 11.230781, 11.335291, 1
253,20, 10, 2, 14.223260, 14.512754, 1
254,21, 9, 0, 11.335291, 11.439619, 1
255,21, 7, 1, 5.806047, 5.836711, 1
256,21, 10, 2, 14.512754, 14.802501, 1
257,21, 5, 3, 1.630862, 1.672564, 1
258,21, 6, 5, 8.954214, 9.391506, 1
259,21, 6, 0, 5.072043, 5.339165, 1
260,21, 7, 1, 5.836711, 5.866820, 1
261,21, 9, 0, 11.439619, 11.543768, 1
262,21, 10, 2, 14.802501, 15.092493, 1
263,22, 9, 0, 11.543768, 11.647738, 1
264,22, 7, 1, 5.866820, 5.896385, 1
265,22, 10, 2, 15.092493, 15.382724, 1
266,22, 5, 3, 1.672564, 1.713508, 1
267,22, 6, 5, 9.391506, 9.829604, 1
268,22, 6, 0, 5.339165, 5.607755, 1
269,22, 7, 1, 5.896385, 5.925418, 1
270,22, 9, 0, 11.647738, 11.751533, 1
271,22, 10, 2, 15.382724, 15.673187, 1
272,23, 9, 0, 11.751533, 11.855151, 1
273,23, 7, 1, 5.925418, 5.953929, 1
274,23, 10, 2, 15.673187, 15.963877, 1
275,23, 5, 3, 1.713508, 1.753721, 1
276,23, 6, 5, 9.829604, 10.268457, 1
277,23, 7, 6, 0.100000, 0.000000, 1
278,23, 7, 1, 5.953929, 5.901949, 1
279,23, 9, 0, 11.855151, 11.958596, 1
280,23, 10, 2, 15.963877, 16.254786, 1
281,24, 9, 0, 11.958596, 12.061870, 1
282,24, 7, 1, 5.901949, 5.850902, 1
283,24, 10, 2, 16.254786, 16.545910, 1
284,24, 5, 3, 1.753721, 1.793229, 1
285,24, 6, 5, 10.268457, 10.588274, 1
286,24, 6, 0, 5.607755, 5.798117, 1
287,24, 7, 1, 5.850902, 5.800774, 1
288,24, 9, 0, 12.061870, 12.164973, 1
289,24, 10, 2, 16.545910, 16.837244, 1
290,25, 9, 0, 12.164973, 12.267908, 1
291,25, 7, 1, 5.800774, 5.751554, 1
292,25, 10, 2, 16.837244, 17.128782, 1
293,25, 5, 3, 1.793229, 1.832056, 1
294,25, 6, 5, 10.588274, 10.908549, 1
295,25, 6, 0, 5.798117, 5.989337, 1
296,25, 7, 1, 5.751554, 5.703229, 1
297,25, 9, 0, 12.267908, 12.370676, 1
298,25, 10, 2, 17.128782, 17.420519, 1
299,26, 9, 0, 12.370676, 12.473278, 1
300,26, 7, 1, 5.703229, 5.655788, 1
301,26, 10, 2, 17.420519, 17.712450, 1
302,26, 5, 3, 1.832056, 1.870224, 1
303,26, 6, 5, 10.908549, 11.229266, 1
304,26, 6, 0, 5.989337, 6.181376, 1
305,26, 7, 1, 5.655788, 5.609219, 1
306,26, 9, 0, 12.473278, 12.575716, 1
307,26, 10, 2, 17.712450, 18.004572, 1
308,27, 9, 0, 12.575716, 12.677991, 1
309,27, 7, 1, 5.609219, 5.563510, 1
310,27, 10, 2, 18.004572, 18.296879, 1
311,27, 5, 3, 1.870224, 1.907754, 1
312,27, 6, 5, 11.229266, 11.550408, 1
313,27, 6, 0, 6.181376, 6.374197, 1
314,27, 7, 1, 5.563510, 5.518649, 1
315,27, 9, 0, 12.677991, 12.780104, 1
316,27, 10, 2, 18.296879, 18.589367, 1
317,28, 9, 0, 12.780104, 12.882057, 1
318,28, 7, 1, 5.518649, 5.474624, 1
319,28, 10, 2, 18.589367, 18.882032, 1
320,28, 5, 3, 1.907754, 1.944667, 1
321,28, 6, 5, 11.550408, 11.871961, 1
322,28, 6, 0, 6.374197, 6.567766, 1
323,28, 7, 1, 5.474624, 5.431424, 1
324,28, 9, 0, 12.882057, 12.983851, 1
325,28, 10, 2, 18.882032, 19.174871, 1
326,29, 9, 0, 12.983851, 13.085488, 1
327,29, 7, 1, 5.431424, 5.389036, 1
328,29, 10, 2, 19.174871, 19.467880, 1
329,29, 5, 3, 1.944667, 1.980981, 1
330,29, 6, 5, 11.871961, 12.193909, 1
331,29, 6, 0, 6.567766, 6.762050, 1
332,29, 7, 1, 5.389036, 5.347450, 1
333,29, 9, 0, 13.085488, 13.186969, 1
334,29, 10, 2, 19.467880, 19.761055, 1
335,30, 9, 0, 13.186969, 13.288295, 1
336,30, 7, 1, 5.347450, 5.306653, 1
337,30, 10, 2, 19.761055, 20.054392, 1
338,30, 5, 3, 1.980981, 2.016715, 1
339,30, 6, 5, 12.193909, 12.516239, 1
340,30, 6, 0, 6.762050, 6.957020, 1
341,30, 7, 1, 5.306653, 5.266634, 1
342,30, 9, 0, 13.288295, 13.389466, 1
343,30, 10, 2, 20.054392, 20.347887, 1
344,31, 9, 0, 13.389466, 13.490486, 1
345,31, 7, 1, 5.266634, 5.227381, 1
346,31, 10, 2, 20.347887, 20.641539, 1
347,31, 5, 3, 2.016715, 2.051886, 1
348,31, 6, 5, 12.516239, 12.838939, 1
349,31, 6, 0, 6.957020, 7.152648, 1
350,31, 7, 1, 5.227381, 5.188883, 1
351,31, 9, 0, 13.490486, 13.591354, 1
352,31, 10, 2, 20.641539, 20.935343, 1
353,32, 9, 0, 13.591354, 13.692073, 1
354,32, 7, 1, 5.188883, 5.151130, 1
355,32, 10, 2, 20.935343, 21.229296, 1
356,32, 5, 3, 2.051886, 2.086509, 1
357,32, 6, 5, 12.838939, 13.161996, 1
358,32, 6, 0, 7.152648, 7.348908, 1
359,32, 7, 1, 5.151130, 5.114109, 1
360,32, 9, 0, 13.692073, 13.792643, 1
361,32, 10, 2, 21.229296, 21.523396, 1
362,33, 9, 0, 13.792643, 13.893064, 1
363,33, 7, 1, 5.114109, 5.077808, 1
364,33, 10, 2, 21.523396, 21.817640, 1
365,33, 5, 3, 2.086509, 2.120599, 1
366,33, 6, 5, 13.161996, 13.485399, 1
367,33, 6, 0, 7.348908, 7.545776, 1
368,33, 7, 1, 5.077808, 5.042219, 1
369,33, 9, 0, 13.893064, 13.993340, 1
370,33, 10, 2, 21.817640, 22.112026, 1
371,34, 9, 0, 13.993340, 14.093469, 1
372,34, 7, 1, 5.042219, 5.007328, 1
373,34, 10, 2, 22.112026, 22.406549, 1
374,34, 5, 3, 2.120599, 2.154172, 1
375,34, 6, 5, 13.485399, 13.809138, 1
376,34, 6, 0, 7.545776, 7.743227, 1
377,34, 7, 1, 5.007328, 4.973125, 1
378,34, 9, 0, 14.093469, 14.193454, 1
379,34, 10, 2, 22.406549, 22.701208, 1
380,35, 9, 0, 14.193454, 14.293296, 1
381,35, 7, 1, 4.973125, 4.939600, 1
382,35, 10, 2, 22.701208, 22.996000, 1
383,35, 5, 3, 2.154172, 2.187242, 1
384,35, 6, 5, 13.809138, 14.133203, 1
385,35, 6, 0, 7.743227, 7.941242, 1
386,35, 7, 1, 4.939600, 4.906741, 1
387,35, 9, 0, 14.293296, 14.392996, 1
388,35, 10, 2, 22.996000, 23.290924, 1
389,36, 9, 0, 14.392996, 14.492555, 1
390,36, 7, 1, 4.906741, 4.874538, 1
391,36, 10, 2, 23.290924, 23.585976, 1
392,36, 5, 3, 2.187242, 2.219821, 1
393,36, 6, 5, 14.133203, 14.457582, 1
394,36, 6, 0, 7.941242, 8.139798, 1
395,36, 7, 1, 4.874538, 4.842980, 1
396,36, 9, 0, 14.492555, 14.591973, 1
397,36, 10, 2, 23.585976, 23.881153, 1
398,37, 9, 0, 14.591973, 14.691253, 1
399,37, 7, 1, 4.842980, 4.812057, 1
400,37, 10, 2, 23.881153, 24.176455, 1
401,37, 5, 3, 2.219821, 2.251922, 1
402,37, 6, 5, 14.457582, 14.782269, 1
403,37, 6, 0, 8.139798, 8.338878, 1
404,37, 7, 1, 4.812057, 4.781757, 1
405,37, 9, 0, 14.691253, 14.790394, 1
406,37, 10, 2, 24.176455, 24.471878, 1
407,38, 9, 0, 14.790394, 14.889398, 1
408,38, 7, 1, 4.781757, 4.752072, 1
409,38, 10, 2, 24.471878, 24.767422, 1
410,38, 5, 3, 2.251922, 2.283557, 1
411,38, 6, 5, 14.782269, 15.107252, 1
412,38, 6, 0, 8.338878, 8.538462, 1
413,38, 7, 1, 4.752072, 4.722991, 1
414,38, 9, 0, 14.889398, 14.988265, 1
415,38, 10, 2, 24.767422, 25.063084, 1
416,39, 9, 0, 14.988265, 15.086997, 1
417,39, 7, 1, 4.722991, 4.694502, 1
418,39, 10, 2, 25.063084, 25.358862, 1
419,39, 5, 3, 2.283557, 2.314739, 1
420,39, 6, 5, 15.107252, 15.432526, 1
421,39, 6, 0, 8.538462, 8.738533, 1
422,39, 7, 1, 4.694502, 4.666597, 1
423,39, 9, 0, 15.086997, 15.185596, 1
424,39, 10, 2, 25.358862, 25.654753, 1
425,40, 9, 0, 15.185596, 15.284060, 1
426,40, 7, 1, 4.666597, 4.639266, 1
427,40, 10, 2, 25.654753, 25.950756, 1
428,40, 5, 3, 2.314739, 2.345477, 1
429,40, 6, 5, 15.432526, 15.758080, 1
430,40, 6, 0, 8.738533, 8.939075, 1
431,40, 7, 1, 4.639266, 4.612498, 1
432,40, 9, 0, 15.284060, 15.382393, 1
433,40, 10, 2, 25.950756, 26.246870, 1
434,41, 9, 0, 15.382393, 15.480594, 1
435,41, 7, 1, 4.612498, 4.586284, 1
436,41, 10, 2, 26.246870, 26.543093, 1
437,41, 5, 3, 2.345477, 2.375783, 1
438,41, 6, 5, 15.758080, 16.083908, 1
439,41, 6, 0, 8.939075, 9.140074, 1
440,41, 7, 1, 4.586284, 4.560614, 1
441,41, 9, 0, 15.480594, 15.578664, 1
442,41, 10, 2, 26.543093, 26.839420, 1
443,42, 9, 0, 15.578664, 15.676604, 1
444,42, 7, 1, 4.560614, 4.535478, 1
445,42, 10, 2, 26.839420, 27.135855, 1
446,42, 5, 3, 2.375783, 2.405667, 1
447,42, 6, 5, 16.083908, 16.410004, 1
448,42, 6, 0, 9.140074, 9.341513, 1
449,42, 7, 1, 4.535478, 4.510868, 1
450,42, 9, 0, 15.676604, 15.774416, 1
451,42, 10, 2, 27.135855, 27.432392, 1
452,43, 9, 0, 15.774416, 15.872099, 1
453,43, 7, 1, 4.510868, 4.486773, 1
454,43, 10, 2, 27.432392, 27.729031, 1
455,43, 5, 3, 2.405667, 2.435139, 1
456,43, 6, 5, 16.410004, 16.736359, 1
457,43, 6, 0, 9.341513, 9.543379, 1
458,43, 7, 1, 4.486773, 4.463185, 1
459,43, 9, 0, 15.872099, 15.969655, 1
460,43, 10, 2, 27.729031, 28.025770, 1
461,44, 9, 0, 15.969655, 16.067085, 1
462,44, 7, 1, 4.463185, 4.440094, 1
463,44, 10, 2, 28.025770, 28.322607, 1
464,44, 5, 3, 2.435139, 2.464207, 1
465,44, 6, 5, 16.736359, 17.062967, 1
466,44, 6, 0, 9.543379, 9.745659, 1
467,44, 7, 1, 4.440094, 4.417492, 1
468,44, 9, 0, 16.067085, 16.164389, 1
469,44, 10, 2, 28.322607, 28.619541, 1
470,45, 9, 0, 16.164389, 16.261568, 1
471,45, 7, 1, 4.417492, 4.395369, 1
472,45, 10, 2, 28.619541, 28.916573, 1
473,45, 5, 3, 2.464207, 2.492882, 1
474,45, 6, 5, 17.062967, 17.389822, 1
475,45, 6, 0, 9.745659, 9.948340, 1
476,45, 7, 1, 4.395369, 4.373717, 1
477,45, 9, 0, 16.261568, 16.358624, 1
478,45, 10, 2, 28.916573, 29.213697, 1
479,46, 9, 0, 16.358624, 16.455557, 1
480,46, 7, 1, 4.373717, 4.352527, 1
481,46, 10, 2, 29.213697, 29.510916, 1
482,46, 5, 3, 2.492882, 2.521171, 1
483,46, 6, 5, 17.389822, 17.716917, 1
484,46, 6, 0, 9.948340, 10.151411, 1
485,46, 7, 1, 4.352527, 4.331790, 1
486,46, 9, 0, 16.455557, 16.552366, 1
487,46, 10, 2, 29.510916, 29.808226, 1
488,47, 9, 0, 16.552366, 16.649055, 1
489,47, 7, 1, 4.331790, 4.311498, 1
490,47, 10, 2, 29.808226, 30.105627, 1
491,47, 5, 3, 2.521171, 2.549084, 1
492,47, 6, 5, 17.716917, 18.044247, 1
493,47, 6, 0, 10.151411, 10.354860, 1
